BEVOEGD GEZAG NUMMER;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;CROHO ONDERDEEL;VOLTIJD ONDERWIJS;DEELTIJD ONDERWIJS;DUAAL ONDERWIJS;TOTAAL
24832;reguliere inst.;14NI;Codarts, Hogeschool voor de Kunsten;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;onderwijs;158;20;0;178
24832;reguliere inst.;14NI;Codarts, Hogeschool voor de Kunsten;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;taal en cultuur;771;42;0;813
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;0344;UTRECHT;Utrecht;economie;868;0;0;868
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;0344;UTRECHT;Utrecht;onderwijs;262;96;0;358
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;0344;UTRECHT;Utrecht;sectoroverstijgend;21;0;0;21
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;0344;UTRECHT;Utrecht;taal en cultuur;2212;0;0;2212
28901;reguliere inst.;00MF;Hogeschool voor de Kunsten Utrecht;UTRECHT;0344;UTRECHT;Utrecht;techniek;465;0;0;465
29615;reguliere inst.;02BY;Gerrit Rietveld Academie;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;taal en cultuur;765;84;0;849
30041;reguliere inst.;00IC;Katholieke PABO Zwolle;ZWOLLE;0193;ZWOLLE;Overijssel;onderwijs;553;187;0;740
30156;reguliere inst.;21WN;NHL Hogeschool;LEEUWARDEN;0080;LEEUWARDEN;Friesland;economie;2801;254;112;3167
30156;reguliere inst.;21WN;NHL Hogeschool;LEEUWARDEN;0080;LEEUWARDEN;Friesland;gedrag en maatschappij;1356;261;0;1617
30156;reguliere inst.;21WN;NHL Hogeschool;LEEUWARDEN;0080;LEEUWARDEN;Friesland;gezondheidszorg;736;132;0;868
30156;reguliere inst.;21WN;NHL Hogeschool;LEEUWARDEN;0080;LEEUWARDEN;Friesland;onderwijs;1787;1476;0;3263
30156;reguliere inst.;21WN;NHL Hogeschool;LEEUWARDEN;0080;LEEUWARDEN;Friesland;techniek;3054;74;0;3128
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;0546;LEIDEN;Zuid-Holland;economie;1904;0;0;1904
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;0546;LEIDEN;Zuid-Holland;gedrag en maatschappij;2641;48;31;2720
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;0546;LEIDEN;Zuid-Holland;gezondheidszorg;1659;6;391;2056
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;0546;LEIDEN;Zuid-Holland;onderwijs;1178;253;0;1431
30163;reguliere inst.;21RI;Hogeschool Leiden;LEIDEN;0546;LEIDEN;Zuid-Holland;techniek;2010;0;1;2011
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;0855;TILBURG;Noord-Brabant;economie;10998;1910;287;13195
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;0855;TILBURG;Noord-Brabant;gedrag en maatschappij;3215;496;0;3711
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;0855;TILBURG;Noord-Brabant;gezondheidszorg;1627;677;123;2427
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;0855;TILBURG;Noord-Brabant;onderwijs;524;75;0;599
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;0855;TILBURG;Noord-Brabant;taal en cultuur;1095;0;0;1095
30183;reguliere inst.;07GR;Avans Hogeschool;TILBURG;0855;TILBURG;Noord-Brabant;techniek;7336;377;288;8001
30205;reguliere inst.;22HH;Viaa-Gereformeerde Hogeschool;ZWOLLE;0193;ZWOLLE;Overijssel;gedrag en maatschappij;476;75;0;551
30205;reguliere inst.;22HH;Viaa-Gereformeerde Hogeschool;ZWOLLE;0193;ZWOLLE;Overijssel;gezondheidszorg;389;110;31;530
30205;reguliere inst.;22HH;Viaa-Gereformeerde Hogeschool;ZWOLLE;0193;ZWOLLE;Overijssel;onderwijs;412;57;0;469
30246;reguliere inst.;21MI;HZ University of Applied Sciences;VLISSINGEN;0718;VLISSINGEN;Zeeland;economie;1274;19;0;1293
30246;reguliere inst.;21MI;HZ University of Applied Sciences;VLISSINGEN;0718;VLISSINGEN;Zeeland;gedrag en maatschappij;925;71;0;996
30246;reguliere inst.;21MI;HZ University of Applied Sciences;VLISSINGEN;0718;VLISSINGEN;Zeeland;gezondheidszorg;521;0;0;521
30246;reguliere inst.;21MI;HZ University of Applied Sciences;VLISSINGEN;0718;VLISSINGEN;Zeeland;onderwijs;322;8;0;330
30246;reguliere inst.;21MI;HZ University of Applied Sciences;VLISSINGEN;0718;VLISSINGEN;Zeeland;techniek;1558;6;22;1586
30274;reguliere inst.;21QA;Amsterdamse Hogeschool voor de Kunsten;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;onderwijs;300;83;0;383
30274;reguliere inst.;21QA;Amsterdamse Hogeschool voor de Kunsten;AMSTERDAM;0363;AMSTERDAM;Noord-Holland;taal en cultuur;2226;269;0;2495
30299;reguliere inst.;22OJ;Hogeschool Rotterdam;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;economie;14310;712;142;15164
30299;reguliere inst.;22OJ;Hogeschool Rotterdam;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;gedrag en maatschappij;3301;569;20;3890
30299;reguliere inst.;22OJ;Hogeschool Rotterdam;ROTTERDAM;0599;ROTTERDAM;Zuid-Holland;gezondheidszorg;3043;222;339;3604
